Country,Year,Date,Holiday_Name,Local_Name,Type,Description,Holiday_Season,Holiday_Month
IN,2025,2025-01-01,New Year's Day,,Optional Holiday,New Year’s Day is celebrated many countries such as in India on the January 1 in the Gregorian calendar.,Winter,1
IN,2025,2025-01-02,Last day of Hanukkah,,Observance,"Hanukkah, also known as Chanukah or the Festival of Lights, is celebrated for eight days between the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.",Winter,1
IN,2025,2025-01-06,Guru Govind Singh Jayanti,,Optional Holiday,Guru Gobind Singh Jayanti is the Sikh annual celebration that occurs in countries such as India around December or January in the Gregorian calendar.,Winter,1
IN,2025,2025-01-13,Lohri,,Observance,Lohri is a observance in India,Winter,1
IN,2025,2025-01-14,Pongal,,"Hinduism, Optional Holiday","Many southern states in India, particularly Tamil Nadu, celebrate Pongal as a thanksgiving for the good harvest season in mid-January every year.",Winter,1
IN,2025,2025-01-14,Makar Sankranti,,"Hinduism, Optional Holiday",Makar Sankranti is a restricted holiday in India,Winter,1
IN,2025,2025-01-14,Hazarat Ali's Birthday,,Optional Holiday,Hazarat Ali's Birthday is a restricted holiday in India,Winter,1
IN,2025,2025-01-26,Republic Day,,National Holiday,India's Republic Day marks the anniversary of the adoption of the Indian constitution. It is an annual gazetted holiday in India on January 26.,Winter,1
IN,2025,2025-01-29,Lunar New Year,,Observance,Lunar New year is an annual global celebration in many countries including India.,Winter,1
IN,2025,2025-02-02,Vasant Panchami,,"Hinduism, Optional Holiday","Vasant Panchami, or India’s spring festival, is a Hindu event that includes special rituals and highlights the start of spring.",Winter,2
IN,2025,2025-02-12,Guru Ravidas Jayanti,,Optional Holiday,Guru Ravidas Jayanti is a restricted holiday in India,Winter,2
IN,2025,2025-02-14,Valentine's Day,,Observance,"Valentine’s Day is celebrated in many places worldwide, including in India, on February 14 each year.",Winter,2
IN,2025,2025-02-19,Shivaji Jayanti,,Optional Holiday,Shivaji Jayanti is a restricted holiday in India,Winter,2
IN,2025,2025-02-23,Maharishi Dayanand Saraswati Jayanti,,Optional Holiday,Maharishi Dayanand Saraswati Jayanti is a restricted holiday in India,Winter,2
IN,2025,2025-02-26,Maha Shivaratri/Shivaratri,,"National Holiday, Hinduism","Maha Shivratri is an annual festival dedicated to Shiva, the Hindu God of destruction. For devotees, is a day of reflection and meditation.",Winter,2
IN,2025,2025-03-02,Ramadan Start,,Observance,"Ramadan is a period of prayer, reflection and fasting for many Muslims worldwide. It is the ninth month in the Islamic calendar.",Spring,3
IN,2025,2025-03-13,Holika Dahana,,Optional Holiday,Holika Dahana is a restricted holiday in India,Spring,3
